neuron_id,layer,neuron,score_last,score_all,abs_all
L21_N3391,21,3391,-0.4918088912963867,-0.8972285985946655,0.8972285985946655
L22_N17616,22,17616,0.42028388381004333,0.5258622765541077,0.5258622765541077
L19_N17395,19,17395,-0.129755899310112,-0.47510862350463867,0.47510862350463867
L22_N8911,22,8911,0.2727264165878296,0.41185426712036133,0.41185426712036133
L18_N18827,18,18827,-0.09098098427057266,-0.3903484642505646,0.3903484642505646
L20_N16199,20,16199,0.29542478919029236,0.3809407353401184,0.3809407353401184
L20_N13874,20,13874,-0.23836207389831543,-0.3782232999801636,0.3782232999801636
L19_N14920,19,14920,-0.2124963104724884,-0.36919495463371277,0.36919495463371277
L22_N5246,22,5246,-0.19286814332008362,-0.36602479219436646,0.36602479219436646
L22_N11928,22,11928,-0.33214640617370605,-0.36499619483947754,0.36499619483947754
L21_N9831,21,9831,0.2521546483039856,0.35939040780067444,0.35939040780067444
L19_N2041,19,2041,-0.3340511918067932,-0.3545258343219757,0.3545258343219757
L21_N10273,21,10273,-0.11331622302532196,-0.32408303022384644,0.32408303022384644
L21_N2686,21,2686,-0.22651740908622742,-0.32204514741897583,0.32204514741897583
L18_N7085,18,7085,-0.029816508293151855,-0.29488223791122437,0.29488223791122437
L19_N5065,19,5065,-0.2500184178352356,-0.28878530859947205,0.28878530859947205
L19_N1488,19,1488,0.21758532524108887,0.28035444021224976,0.28035444021224976
L21_N3624,21,3624,-0.1763046532869339,-0.27917516231536865,0.27917516231536865
L20_N17741,20,17741,0.21656909584999084,0.2782250940799713,0.2782250940799713
L21_N8621,21,8621,-0.24786798655986786,-0.2748449444770813,0.2748449444770813
L19_N2668,19,2668,0.24062636494636536,0.2651805877685547,0.2651805877685547
L20_N18926,20,18926,-0.04656831920146942,-0.25991764664649963,0.25991764664649963
L19_N4802,19,4802,0.1346249282360077,0.25955116748809814,0.25955116748809814
L19_N8673,19,8673,0.14421148598194122,0.2575930655002594,0.2575930655002594
L19_N36,19,36,-0.053956497460603714,-0.2528861463069916,0.2528861463069916
L22_N16758,22,16758,-0.2378123700618744,-0.24127241969108582,0.24127241969108582
L21_N4900,21,4900,-0.2006032019853592,-0.2382068932056427,0.2382068932056427
L22_N12740,22,12740,0.22211912274360657,0.23392808437347412,0.23392808437347412
L19_N16973,19,16973,0.1419222503900528,0.22037966549396515,0.22037966549396515
L18_N12586,18,12586,-0.034105315804481506,-0.2182883471250534,0.2182883471250534
L22_N7938,22,7938,-0.18137218058109283,-0.21769914031028748,0.21769914031028748
L17_N11532,17,11532,-0.03393353521823883,-0.2146967649459839,0.2146967649459839
L12_N18543,12,18543,-0.003477078629657626,-0.20989277958869934,0.20989277958869934
L20_N18509,20,18509,0.20088259875774384,0.20289213955402374,0.20289213955402374
L17_N7652,17,7652,-0.11801125109195709,-0.19994810223579407,0.19994810223579407
L17_N16972,17,16972,0.002412669360637665,0.19518789649009705,0.19518789649009705
L19_N4795,19,4795,-0.1364109367132187,-0.19405034184455872,0.19405034184455872
L20_N6819,20,6819,-0.1283399760723114,-0.1916670799255371,0.1916670799255371
L18_N11075,18,11075,0.16846218705177307,0.1891472041606903,0.1891472041606903
L20_N886,20,886,-0.15070326626300812,-0.1864735633134842,0.1864735633134842
L21_N502,21,502,-0.18034163117408752,-0.18573853373527527,0.18573853373527527
L21_N18491,21,18491,0.16783961653709412,0.1822599470615387,0.1822599470615387
L22_N8071,22,8071,0.16094236075878143,0.1810797154903412,0.1810797154903412
L22_N18910,22,18910,-0.1425139605998993,-0.1799749881029129,0.1799749881029129
