neuron_id,is_candidate,n_prompts,d_elogu_slope_per_sigma,d_elogu_slope_p,d_elogu_mean_ablation,d_elogu_mean_ablation_p,d_elogu_beyond_temp_slope_per_sigma,d_elogu_beyond_temp_slope_p,d_elogu_beyond_temp_mean_ablation,d_elogu_beyond_temp_mean_ablation_p,d_kl_slope_per_sigma,d_kl_slope_p,d_kl_mean_ablation,d_kl_mean_ablation_p,d_entropy_slope_per_sigma,d_entropy_slope_p,d_entropy_mean_ablation,d_entropy_mean_ablation_p,freq_corr,abs_freq_corr_pctile
L20_N1001,True,120,-0.00021562476952870688,0.8372325534893021,-0.005681465069452922,0.13797240551889622,-0.00045584887266159047,0.6176764647070586,-0.003397711118062337,0.21715656868626274,0.0007925714055697123,0.5396920615876825,0.002841426928838094,0.4143171365726855,-0.0005769554836054641,0.41871625674865026,0.0028398120775818825,0.1843631273745251,-0.0211787614971399,23.200000000000003
L20_N12894,True,120,0.0009912058711051936,0.3173365326934613,-0.0022798438866933187,0.5130973805238952,0.0006336619456609088,0.40411917616476706,-0.0021730820337931317,0.41511697660467906,-0.00016785115003585804,0.8974205158968206,0.001439197858174642,0.6480703859228154,-0.0008233718030775585,0.21175764847030593,0.0008405053056776523,0.6552689462107578,0.0063311536796391,8.200000000000001
L20_N1399,True,120,0.00032525360584259046,0.7270545890821836,-0.0023466964562733968,0.47690461907618475,0.00012277563412984202,0.8548290341931614,-0.001345960299173991,0.5812837432513497,-0.00025180776913960774,0.8000399920015997,0.0023612995942433675,0.5348930213957208,-7.344186305999744e-05,0.9080183963207359,-1.472026730577151e-05,0.9954009198160368,0.0408214293420314,41.3
L20_N2742,True,120,-0.0006201123197873436,0.4233153369326135,-0.001210327943166097,0.7684463107378524,-0.00018625209728876746,0.7358528294341132,0.001301330327987671,0.6366726654669066,0.00041813304026921597,0.6100779844031193,0.0018884042898813884,0.6420715856828634,0.00020199037777880822,0.7280543891221756,-0.0006783162243664265,0.7326534693061387,0.1169811338186264,83.7
L20_N4060,True,120,-0.001620948314666748,0.15016996600679863,-0.002357091506322225,0.4647070585882823,-0.0007339417934417726,0.39892021595680865,-0.0004007160663604736,0.8630273945210958,-0.0003185023864110311,0.7648470305938813,0.001387480894724528,0.6792641471705659,0.0019394255010411142,0.0033993201359728054,0.0009695325667659441,0.6984603079384123,-0.1686237007379531,95.0
L20_N4769,True,120,0.00028927723566691074,0.7588482303539292,-0.0003027160962422689,0.9422115576884623,-0.0001231268048286438,0.8538292341531694,-0.0010785142580668132,0.7034593081383723,9.280393520991019e-05,0.9260147970405919,0.00048438111941019694,0.8948210357928414,-0.00038205402282377087,0.4783043391321736,-0.00018179041023055713,0.9342131573685263,0.1245663687586784,86.5
L20_N488,False,120,0.00040472696224848396,0.6628674265146971,-0.0027892887592315674,0.47430513897220555,0.0004527782400449114,0.5154969006198761,-0.00041472514470418295,0.8650269946010798,0.0005396882692972818,0.5464907018596281,-3.6329030990600586e-05,0.9928014397120576,-0.0009444036598627766,0.14897020595880825,0.0028254109745224315,0.3099380123975205,,
L20_N5595,True,120,0.003958753744761149,0.002599480103979204,-0.0029405832290649416,0.4939012197560488,0.001983979344367981,0.04859028194361128,-0.0032433549563090007,0.29934013197360526,-0.003920804460843403,0.018196360727854428,0.003685822089513143,0.3437312537492502,-3.7976168096065635e-05,0.9732053589282144,-0.0007453859473268191,0.7514497100579884,0.1589606255292892,94.2
L22_N11087,False,120,-0.0009008864561716711,0.33093381323735255,-0.0018854935963948567,0.624875024995001,-0.00024101684490839635,0.7124575084983004,-0.0004997154076894125,0.864627074585083,0.0011559064189592997,0.2927414517096581,0.000600812832514445,0.8598280343931214,-0.00025501918668548266,0.7520495900819836,0.001284498286743959,0.5568886222755449,,
L22_N2446,True,120,0.000732465088367462,0.45090981803639274,-0.0042610605557759605,0.21395720855828834,0.0006573880712191262,0.33313337332533494,-0.002343916893005371,0.34973005398920215,-0.0006857648491859436,0.49750049990002,0.002371623118718465,0.42811437712457506,-4.668261390179419e-05,0.9400119976004799,0.001889337133616209,0.3027394521095781,-0.1595734357833862,94.2
