Frequency-neuron causal test
unigram: /marimo/repo_qwen/results/unigram_logfreq_43be1456fdd4.npy

Weight-space freq_corr vs causal slope [raw d_elogu] across 11 candidates: Pearson r=-0.005 (p=0.99), Spearman rho=0.109 (p=0.75); sign agreement among FREQ-NEURON-LIKE nan
Weight-space freq_corr vs causal slope [d_elogu BEYOND temperature-matched baseline] across 11 candidates: Pearson r=-0.170 (p=0.62), Spearman rho=-0.164 (p=0.63); sign agreement among FREQ-NEURON-LIKE nan
|causal elogu slope| per sigma: FREQ-NEURON-LIKE (n=0) nan | other candidates (n=11) 0.0019 | random controls (n=10) 0.0015
sign agreement (weight score vs causal slope) among FREQ-NEURON-LIKE: nan

 neuron_id  is_candidate  freq_corr  abs_freq_corr_pctile  d_elogu_beyond_temp_slope_per_sigma  d_elogu_beyond_temp_slope_p  d_elogu_slope_per_sigma  d_elogu_slope_p  d_kl_slope_per_sigma  d_kl_slope_p  d_entropy_slope_per_sigma  d_elogu_mean_ablation  d_elogu_mean_ablation_p
 L17_N6267          True    0.03301                  35.2                            -0.005817                     0.006799                -0.006462         0.006599              0.005824        0.0124                  0.0006383              -0.007893                   0.2651
 L24_N6515         False        NaN                   NaN                             0.003708                     0.003399                 0.004264         0.004399             -0.004453      0.002599                  0.0001891              -0.008129                   0.1352
L16_N11414          True -0.0008672                   0.9                            -0.003702                      0.02939                -0.006652        0.0009998              0.002648        0.1564                   0.004004               -0.01101                  0.07518
  L24_N869         False        NaN                   NaN                             0.001603                       0.2052                  0.00112           0.4101             -0.001068        0.4513                 -5.218e-05              -0.004438                   0.4191
L16_N13825         False        NaN                   NaN                            -0.001495                       0.3599                -0.001841           0.3343              0.001119        0.5617                  0.0007215              -0.006126                   0.3759
 L16_N7164         False        NaN                   NaN                            -0.001411                       0.2677                -0.001123           0.4713              0.001816        0.1956                 -0.0006935              -0.008562                   0.1674
L18_N11446          True    0.07903                  73.8                             -0.00139                       0.3475                -0.001761           0.3403              0.001795        0.2603                 -3.421e-05               -0.02035                 0.004799
  L16_N819         False        NaN                   NaN                            -0.001369                       0.3791                -0.001208           0.5065              0.001423        0.4289                 -0.0002153              -0.008869                   0.1872
 L18_N8024         False        NaN                   NaN                             -0.00122                       0.4245                -0.002014           0.2547             0.0004699        0.7674                   0.001544               -0.01154                  0.07279
 L17_N9538          True    0.03099                  32.7                            -0.001052                       0.4461                -0.001438           0.3945             0.0009701        0.5479                  0.0004683              -0.007072                   0.3245
 L19_N2836          True    -0.0103                    10                            -0.001028                       0.4817                  -0.0019           0.2503              0.001169        0.4969                  0.0007306               -0.01265                  0.04979
 L17_N9633          True    -0.1332                  94.1                             0.000953                       0.5495                0.0004458           0.8194            -0.0009328        0.6107                  0.0004869               -0.01117                  0.05699
  L16_N976         False        NaN                   NaN                             0.000908                       0.5585                0.0008958           0.5951            -0.0006724        0.7001                 -0.0002234              -0.007468                   0.2701
L19_N12887          True    0.04072                  42.9                           -0.0007716                       0.6057                -0.001121           0.5273             0.0006881        0.6723                  0.0004333               -0.01168                  0.07279
 L16_N5504          True    0.06991                  67.4                           -0.0006796                       0.6525               -0.0003552           0.8462             0.0009829        0.5609                 -0.0006277                -0.0111                  0.09318
L17_N16559         False        NaN                   NaN                           -0.0006731                       0.6247                -0.001534           0.3673             0.0008018        0.6007                  0.0007325                -0.0102                    0.161
L16_N17870         False        NaN                   NaN                            0.0005894                       0.6615                0.0009646           0.5679            -0.0002785        0.8728                 -0.0006861               -0.01475                  0.03759
L18_N14080          True    0.04328                  45.6                           -0.0003957                       0.7708                0.0007098           0.6509             0.0009076        0.5649                  -0.001617               -0.01148                   0.1348
 L24_N2230          True     0.1313                  93.6                           -0.0001591                       0.9094               -5.925e-05            0.963             0.0001656        0.9148                 -0.0001064              -0.002466                   0.6249
L19_N18841          True   -0.01356                  13.7                           -9.467e-05                        0.948               -0.0003391           0.8358             0.0005006         0.752                 -0.0001615               -0.01621                   0.0138
 L17_N4572         False        NaN                   NaN                           -7.234e-05                       0.9576               -0.0003845           0.7984              0.001297        0.4231                 -0.0009127               -0.01024                   0.1462
