neuron_id,layer,neuron_idx,kind,matched_to,w_norm,logit_var,nullfrac_k16,nullfrac_k64,nullfrac_k256,nullfrac_bottom10pct,w_norm_pctile_random,w_norm_pctile_matched,logit_var_pctile_random,logit_var_pctile_matched,nullfrac_bottom10pct_pctile_random,nullfrac_bottom10pct_pctile_matched,nullfrac_k16_pctile_random,nullfrac_k16_pctile_matched,nullfrac_k64_pctile_random,nullfrac_k64_pctile_matched,nullfrac_k256_pctile_random,nullfrac_k256_pctile_matched
L17_N6267,17,6267,candidate,,3.149554491043091,0.00012807741586584598,0.008698130026459694,0.02102287858724594,0.07645615190267563,0.3270329535007477,1.4000000000000001,12.0,76.8,78.0,18.099999999999998,2.0,46.800000000000004,38.0,13.600000000000001,2.0,15.4,0.0
L18_N11446,18,11446,candidate,,3.940039873123169,0.00012314965715631843,0.007782334461808205,0.03376399353146553,0.13724210858345032,0.42319968342781067,69.89999999999999,62.0,33.900000000000006,50.0,89.0,94.0,36.8,24.0,61.0,62.0,86.7,92.0
L18_N14080,18,14080,candidate,,3.5019681453704834,0.00011648263171082363,0.03672857955098152,0.07305045425891876,0.16298910975456238,0.45118722319602966,13.0,16.0,5.800000000000001,8.0,92.60000000000001,90.0,97.39999999999999,92.0,95.89999999999999,88.0,92.2,86.0
L19_N12887,19,12887,candidate,,4.149435043334961,0.00011849079601233825,0.016475992277264595,0.04279876872897148,0.14620408415794373,0.43347683548927307,89.4,86.0,8.0,10.0,90.7,82.0,86.6,78.0,80.0,78.0,89.1,80.0
L17_N9633,17,9633,candidate,,4.0124125480651855,0.0001258446427527815,0.012904336676001549,0.04132983461022377,0.13701549172401428,0.42621171474456787,80.10000000000001,88.0,60.4,66.0,89.60000000000001,84.0,75.0,80.0,77.8,80.0,86.7,82.0
L16_N11414,16,11414,candidate,,3.4177379608154297,0.00012329798482824117,0.011652862653136253,0.027240119874477386,0.08439064770936966,0.33790168166160583,8.4,18.0,36.3,38.0,26.8,18.0,68.4,52.0,34.9,18.0,25.2,14.000000000000002
L16_N5504,16,5504,candidate,,3.620018243789673,0.0001230400230269879,0.012929007411003113,0.034574490040540695,0.11921379715204239,0.3838127553462982,22.900000000000002,36.0,32.6,30.0,71.89999999999999,80.0,75.0,74.0,63.3,76.0,75.8,90.0
L24_N2230,24,2230,candidate,,3.5762763023376465,0.00012878798588644713,0.021898070350289345,0.057722415775060654,0.16389508545398712,0.4527834355831146,18.6,14.000000000000002,80.60000000000001,62.0,92.80000000000001,96.0,93.10000000000001,98.0,90.9,98.0,92.2,96.0
L17_N9538,17,9538,candidate,,3.861973762512207,0.00012165388761786744,0.005342815071344376,0.029700476676225662,0.0919664278626442,0.33934491872787476,57.699999999999996,72.0,21.3,26.0,28.1,12.0,13.0,14.000000000000002,46.5,36.0,37.5,28.000000000000004
L19_N18841,19,18841,candidate,,3.4643759727478027,0.00012106606300221756,0.013125182129442692,0.04143000394105911,0.11706019192934036,0.37441980838775635,11.200000000000001,16.0,17.5,14.000000000000002,65.8,52.0,76.0,66.0,78.0,66.0,73.7,62.0
