neuron_id,layer,neuron_idx,kind,matched_to,w_norm,logit_var,nullfrac_k16,nullfrac_k64,nullfrac_k256,nullfrac_bottom10pct,w_norm_pctile_random,w_norm_pctile_matched,logit_var_pctile_random,logit_var_pctile_matched,nullfrac_bottom10pct_pctile_random,nullfrac_bottom10pct_pctile_matched,nullfrac_k16_pctile_random,nullfrac_k16_pctile_matched,nullfrac_k64_pctile_random,nullfrac_k64_pctile_matched,nullfrac_k256_pctile_random,nullfrac_k256_pctile_matched
L30_N5509,30,5509,candidate,,1.1490689516067505,0.00018566614016890526,0.03412173315882683,0.1554325520992279,0.27891650795936584,0.583938479423523,0.7000000000000001,22.0,27.700000000000003,44.0,96.5,94.0,98.9,98.0,98.6,96.0,97.2,96.0
L29_N9228,29,9228,candidate,,1.6135237216949463,0.00019576726481318474,0.008682684041559696,0.05435459315776825,0.14975696802139282,0.46295860409736633,9.9,48.0,91.5,88.0,92.9,78.0,93.8,80.0,96.0,86.0,93.2,78.0
L26_N11322,26,11322,candidate,,1.4911776781082153,0.0001889091799966991,0.007676579523831606,0.031699806451797485,0.11114685237407684,0.40875592827796936,6.4,18.0,60.4,70.0,89.3,74.0,93.0,90.0,92.30000000000001,88.0,90.4,76.0
L29_N10092,29,10092,candidate,,1.6041948795318604,0.00026251061353832483,0.009548293426632881,0.039615094661712646,0.12212934345006943,0.4256005585193634,9.8,42.0,99.6,100.0,91.0,62.0,94.6,82.0,94.0,80.0,91.60000000000001,70.0
L30_N7102,30,7102,candidate,,1.88716459274292,0.00018350887694396079,0.019293133169412613,0.050656601786613464,0.16075806319713593,0.4980829060077667,62.5,14.000000000000002,18.099999999999998,12.0,94.5,94.0,97.8,100.0,95.8,96.0,93.5,94.0
L24_N7891,24,7891,candidate,,1.6821542978286743,0.00018660322530195117,0.003357725916430354,0.019851678982377052,0.09589537233114243,0.40632739663124084,12.0,6.0,37.5,26.0,89.0,98.0,53.5,44.0,87.1,86.0,88.3,96.0
L30_N13513,30,13513,candidate,,1.2310959100723267,0.0001826974330469966,0.07659688591957092,0.1467924267053604,0.24655009806156158,0.5372319221496582,1.6,22.0,17.1,40.0,95.5,94.0,99.4,100.0,98.6,100.0,96.5,94.0
L30_N6621,30,6621,candidate,,1.4564809799194336,0.00018435985839460045,0.01427938137203455,0.07621845602989197,0.1836910992860794,0.4929570257663727,5.5,50.0,20.599999999999998,50.0,94.3,76.0,96.39999999999999,88.0,96.7,86.0,95.1,80.0
L30_N3533,30,3533,candidate,,1.3940964937210083,0.0002125804458046332,0.024779729545116425,0.0719216912984848,0.16978728771209717,0.48754116892814636,4.0,60.0,98.8,92.0,94.0,82.0,98.4,90.0,96.5,86.0,94.0,82.0
L29_N11308,29,11308,candidate,,1.9599106311798096,0.00016979436622932553,0.009053092449903488,0.03132665902376175,0.11893092095851898,0.4489184319972992,71.8,44.0,6.9,0.0,92.4,100.0,94.19999999999999,100.0,92.2,100.0,91.3,98.0
L29_N10191,29,10191,candidate,,1.582502841949463,0.00018590211402624846,0.003694764571264386,0.02571682631969452,0.0886654332280159,0.41678333282470703,9.1,40.0,30.2,60.0,89.8,64.0,62.8,38.0,91.2,64.0,87.4,50.0
L31_N2477,31,2477,candidate,,0.897652268409729,0.000347650027833879,0.05837222561240196,0.16902993619441986,0.35021811723709106,0.637872576713562,0.2,46.0,100.0,92.0,97.5,80.0,99.4,82.0,98.7,84.0,98.1,82.0
L29_N8568,29,8568,candidate,,1.5784375667572021,0.00017864270193967968,0.007124490570276976,0.028566332533955574,0.08698812872171402,0.3747527301311493,8.9,26.0,12.8,44.0,86.9,54.0,92.2,68.0,91.5,64.0,87.1,54.0
L26_N2788,26,2788,candidate,,1.5907745361328125,0.00018201627244707197,0.009256277233362198,0.03211994096636772,0.11018542945384979,0.41491782665252686,9.5,20.0,15.9,42.0,89.7,78.0,94.19999999999999,96.0,92.5,90.0,90.0,80.0
L23_N12156,23,12156,candidate,,1.3296191692352295,0.00018036714754998684,0.006936090067028999,0.032251037657260895,0.09496376663446426,0.3811952471733093,2.8000000000000003,24.0,14.099999999999998,36.0,87.3,62.0,91.60000000000001,68.0,92.5,76.0,88.2,60.0
L31_N1824,31,1824,random,,1.9105117321014404,0.00017161047435365617,0.04048687592148781,0.10808362811803818,0.1821172684431076,0.48717212677001953,64.5,,8.5,,93.8,,99.2,,97.8,,94.8,
L23_N12149,23,12149,random,,1.8439033031463623,0.0001870230189524591,0.0027261122595518827,0.013276245445013046,0.05557108670473099,0.2967900037765503,44.3,,41.5,,51.6,,33.0,,50.9,,55.00000000000001,
L26_N4012,26,4012,random,,1.8450775146484375,0.0001905745011754334,0.0019074075389653444,0.01366052869707346,0.052121445536613464,0.29493844509124756,45.4,,76.2,,47.5,,11.200000000000001,,55.50000000000001,,39.7,
L24_N2286,24,2286,random,,1.8221606016159058,0.00018945422198157758,0.002678442280739546,0.01719224452972412,0.06204957142472267,0.3102196753025055,28.599999999999998,,65.7,,74.5,,31.6,,81.89999999999999,,76.0,
L31_N1679,31,1679,random,,1.5846493244171143,0.00023244264593813568,0.02006777934730053,0.07585017383098602,0.15945453941822052,0.45490047335624695,9.1,,99.2,,92.7,,97.89999999999999,,96.5,,93.4,
L31_N12135,31,12135,random,,1.840450406074524,0.0001713735400699079,0.011557076126337051,0.05677741765975952,0.18722303211688995,0.48746150732040405,42.199999999999996,,8.3,,93.89999999999999,,95.39999999999999,,96.1,,95.1,
L30_N1424,30,1424,random,,1.9943135976791382,0.0001858964969869703,0.0028363363817334175,0.017336223274469376,0.05156201124191284,0.29361748695373535,79.2,,30.0,,44.800000000000004,,36.199999999999996,,82.8,,37.5,
L30_N6912,30,6912,random,,2.077962875366211,0.000192356834304519,0.0024959349539130926,0.012819553725421429,0.0494266003370285,0.27845919132232666,90.4,,84.5,,15.9,,25.8,,45.9,,26.900000000000002,
L23_N488,23,488,random,,1.8565186262130737,0.0001925770629895851,0.004233700688928366,0.012925555929541588,0.05611858889460564,0.29866209626197815,52.300000000000004,,85.3,,55.50000000000001,,74.2,,47.0,,57.4,
L23_N3582,23,3582,random,,1.8485302925109863,0.00018666530377231538,0.0021039661951363087,0.01311642024666071,0.05534844473004341,0.304332435131073,47.599999999999994,,38.1,,67.5,,14.899999999999999,,49.0,,53.800000000000004,
L24_N8279,24,8279,random,,1.8282203674316406,0.00018767172878142446,0.0022067162208259106,0.011099858209490776,0.049472372978925705,0.2829512059688568,34.1,,46.800000000000004,,23.0,,17.5,,23.9,,27.0,
L30_N434,30,434,random,,1.178665041923523,0.00019457492453511804,0.015945447608828545,0.04233677685260773,0.11354310065507889,0.4080505669116974,0.8,,89.8,,89.2,,96.8,,94.5,,90.60000000000001,
L30_N3257,30,3257,random,,2.0347235202789307,0.000184783260920085,0.003216627985239029,0.012389419600367546,0.04873361065983772,0.2823403477668762,86.2,,22.2,,22.1,,49.2,,41.099999999999994,,24.2,
L31_N10647,31,10647,random,,1.816495418548584,0.00017840956570580602,0.0060951607301831245,0.022732853889465332,0.08578582108020782,0.3589033782482147,24.6,,12.6,,85.7,,89.60000000000001,,89.4,,87.0,
L31_N8928,31,8928,random,,1.1890723705291748,0.000209015779546462,0.001895506284199655,0.007457636762410402,0.029644537717103958,0.21625976264476776,1.0999999999999999,,98.3,,0.4,,10.9,,0.8999999999999999,,0.4,
