neuron_id,layer,neuron_idx,kind,matched_to,w_norm,logit_var,nullfrac_k16,nullfrac_k64,nullfrac_k256,nullfrac_bottom10pct,w_norm_pctile_random,w_norm_pctile_matched,logit_var_pctile_random,logit_var_pctile_matched,nullfrac_bottom10pct_pctile_random,nullfrac_bottom10pct_pctile_matched,nullfrac_k16_pctile_random,nullfrac_k16_pctile_matched,nullfrac_k64_pctile_random,nullfrac_k64_pctile_matched,nullfrac_k256_pctile_random,nullfrac_k256_pctile_matched
L30_N1457,30,1457,candidate,,1.79115891456604,0.0003288429870735854,0.02932947687804699,0.0546453557908535,0.14522328972816467,0.46275362372398376,22.5,38.0,100.0,100.0,92.60000000000001,84.0,98.9,96.0,96.2,86.0,93.0,82.0
L29_N11909,29,11909,candidate,,1.3968576192855835,0.0003886429185513407,0.016821017488837242,0.04111209139227867,0.1607610434293747,0.4915963411331177,4.1000000000000005,56.00000000000001,100.0,100.0,93.89999999999999,82.0,97.2,92.0,94.39999999999999,78.0,93.4,82.0
L29_N13925,29,13925,candidate,,1.7516944408416748,0.00018447902402840555,0.008021675981581211,0.018827566877007484,0.06395119428634644,0.32673540711402893,16.900000000000002,30.0,22.5,46.0,79.9,60.0,93.4,88.0,84.8,72.0,75.5,56.00000000000001
L30_N1777,30,1777,candidate,,1.3875916004180908,0.00031079351902008057,0.06952886283397675,0.12819091975688934,0.2556014060974121,0.5641703605651855,3.8,50.0,99.9,100.0,96.0,92.0,99.4,98.0,98.5,98.0,96.7,94.0
L23_N12855,23,12855,candidate,,1.5069674253463745,0.00016357155982404947,0.0072698770090937614,0.043108150362968445,0.14503245055675507,0.466960072517395,6.5,20.0,5.0,16.0,92.7,82.0,92.5,82.0,94.8,90.0,93.0,86.0
L30_N13647,30,13647,candidate,,1.4101686477661133,0.00015446885663550347,0.08635042607784271,0.19207482039928436,0.3093417286872864,0.6182158589363098,4.3999999999999995,42.0,3.1,14.000000000000002,97.0,84.0,99.6,96.0,99.1,92.0,97.39999999999999,84.0
L20_N12894,20,12894,candidate,,1.4684319496154785,0.00017060121172107756,0.006550322286784649,0.030336705967783928,0.10651139914989471,0.422290176153183,5.7,12.0,7.3999999999999995,12.0,90.8,88.0,90.60000000000001,80.0,92.2,90.0,90.3,84.0
L20_N1399,20,1399,candidate,,1.8010132312774658,0.000190799604752101,0.00225399830378592,0.011150997132062912,0.04794864356517792,0.28160473704338074,24.6,36.0,78.4,80.0,20.7,8.0,18.3,12.0,24.8,14.000000000000002,20.599999999999998,8.0
L28_N11622,28,11622,candidate,,1.7743504047393799,0.00017709883104544133,0.00936060305684805,0.026257779449224472,0.08690665662288666,0.36539071798324585,20.0,6.0,10.7,8.0,86.8,92.0,94.8,100.0,91.0,92.0,87.5,92.0
L31_N6772,31,6772,candidate,,1.7588144540786743,0.00015591045666951686,0.018947619944810867,0.12288812547922134,0.33311086893081665,0.6392485499382019,17.599999999999998,54.0,3.4000000000000004,8.0,97.5,94.0,97.89999999999999,78.0,98.4,94.0,97.7,94.0
L20_N2742,20,2742,candidate,,1.83246648311615,0.00019055401207879186,0.0029990964103490114,0.011502264998853207,0.05229388177394867,0.29942792654037476,40.6,88.0,76.7,84.0,54.1,44.0,40.699999999999996,50.0,28.9,18.0,39.800000000000004,24.0
L31_N3330,31,3330,candidate,,1.4535259008407593,0.00031811808003112674,0.042717743664979935,0.1283685714006424,0.27163174748420715,0.5783770680427551,5.4,62.0,99.9,98.0,96.6,68.0,99.3,92.0,98.5,90.0,97.0,76.0
L20_N1001,20,1001,candidate,,1.4165953397750854,0.0001831156841944903,0.0060128699988126755,0.0175714623183012,0.07998228818178177,0.3498271405696869,4.5,20.0,18.2,38.0,84.7,56.00000000000001,88.6,78.0,82.1,46.0,86.0,57.99999999999999
L20_N4769,20,4769,candidate,,1.7598272562026978,0.00019253655045758933,0.003724429989233613,0.01573234423995018,0.060051772743463516,0.3129505217075348,17.599999999999998,10.0,85.5,84.0,71.8,72.0,61.8,62.0,74.5,80.0,68.7,70.0
L30_N13098,30,13098,candidate,,1.7938883304595947,0.00017726689111441374,0.009411006234586239,0.029501184821128845,0.10700967907905579,0.40730026364326477,22.8,32.0,10.8,18.0,89.8,92.0,94.8,96.0,91.9,90.0,90.5,92.0
L30_N10312,30,10312,candidate,,1.5069074630737305,0.00016669400793034583,0.00865038763731718,0.050257958471775055,0.1758616864681244,0.48777222633361816,6.5,42.0,5.800000000000001,18.0,93.7,82.0,93.89999999999999,76.0,95.8,84.0,94.19999999999999,80.0
L20_N5595,20,5595,candidate,,1.4374126195907593,0.00019307287584524602,0.0026802828069776297,0.015167335979640484,0.08591052889823914,0.3560871183872223,5.3,20.0,87.2,86.0,85.39999999999999,54.0,31.2,14.000000000000002,70.3,26.0,87.2,56.00000000000001
L31_N1824,31,1824,random,,1.9105117321014404,0.00017161047435365617,0.04048687592148781,0.10808362811803818,0.1821172684431076,0.48717212677001953,55.400000000000006,,8.1,,93.5,,99.2,,97.89999999999999,,94.69999999999999,
L20_N12149,20,12149,random,,1.8282902240753174,0.00018296185589861125,0.005724383983761072,0.022951452061533928,0.08170518279075623,0.351400226354599,38.1,,17.5,,85.1,,86.3,,89.4,,86.3,
L28_N4012,28,4012,random,,1.9235169887542725,0.00019446827354840934,0.0014016429195180535,0.010918062180280685,0.0503249354660511,0.27635276317596436,60.0,,89.60000000000001,,12.2,,3.0,,22.6,,30.4,
L23_N2286,23,2286,random,,1.7705942392349243,0.00018645881209522486,0.0046297102235257626,0.021552158519625664,0.07731487601995468,0.3539784252643585,19.2,,38.3,,85.3,,76.9,,88.0,,85.3,
L31_N1679,31,1679,random,,1.5846493244171143,0.00023244264593813568,0.02006777934730053,0.07585017383098602,0.15945453941822052,0.45490047335624695,9.2,,99.2,,92.30000000000001,,98.0,,96.7,,93.30000000000001,
L31_N12135,31,12135,random,,1.840450406074524,0.0001713735400699079,0.011557076126337051,0.05677741765975952,0.18722303211688995,0.48746150732040405,43.8,,8.0,,93.60000000000001,,95.6,,96.3,,95.0,
L30_N1424,30,1424,random,,1.9943135976791382,0.0001858964969869703,0.0028363363817334175,0.017336223274469376,0.05156201124191284,0.29361748695373535,79.0,,32.0,,44.0,,35.9,,81.39999999999999,,36.3,
L30_N6912,30,6912,random,,2.077962875366211,0.000192356834304519,0.0024959349539130926,0.012819553725421429,0.0494266003370285,0.27845919132232666,90.2,,84.8,,15.1,,25.8,,45.1,,26.900000000000002,
L20_N488,20,488,random,,1.830214500427246,0.00018853969231713563,0.0037656105123460293,0.015799934044480324,0.05853093042969704,0.29392358660697937,39.300000000000004,,59.699999999999996,,44.4,,62.2,,74.7,,63.6,
L20_N3582,20,3582,random,,1.7719393968582153,0.00018982827896252275,0.0022929972037672997,0.00988716259598732,0.043590445071458817,0.27849847078323364,19.3,,71.39999999999999,,15.2,,19.7,,12.5,,8.0,
L23_N8279,23,8279,random,,1.8387320041656494,0.00018983168411068618,0.004357839003205299,0.01526845246553421,0.05480707809329033,0.2856113016605377,42.9,,71.6,,27.6,,73.3,,70.8,,50.5,
L30_N434,30,434,random,,1.178665041923523,0.00019457492453511804,0.015945447608828545,0.04233677685260773,0.11354310065507889,0.4080505669116974,0.8,,89.8,,89.9,,96.89999999999999,,94.6,,90.7,
L30_N3257,30,3257,random,,2.0347235202789307,0.000184783260920085,0.003216627985239029,0.012389419600367546,0.04873361065983772,0.2823403477668762,86.0,,24.0,,22.1,,48.3,,39.800000000000004,,24.8,
L31_N10647,31,10647,random,,1.816495418548584,0.00017840956570580602,0.0060951607301831245,0.022732853889465332,0.08578582108020782,0.3589033782482147,30.599999999999998,,11.5,,86.0,,88.8,,89.3,,87.0,
L31_N8928,31,8928,random,,1.1890723705291748,0.000209015779546462,0.001895506284199655,0.007457636762410402,0.029644537717103958,0.21625976264476776,1.0999999999999999,,98.0,,0.4,,11.5,,0.8,,0.4,
L29_N3611,29,3611,random,,1.945613145828247,0.0001890777057269588,0.0025009694509208202,0.010074814781546593,0.04637244716286659,0.27176380157470703,67.60000000000001,,65.2,,8.200000000000001,,26.0,,14.2,,14.2,
L29_N9654,29,9654,random,,1.2252899408340454,0.00018534361151978374,0.0018142473418265581,0.008802215568721294,0.03173438832163811,0.24330320954322815,1.5,,28.299999999999997,,1.4000000000000001,,10.0,,5.2,,0.8,
L28_N13261,28,13261,random,,1.8411279916763306,0.00018531442037783563,0.0035274988040328026,0.011817825958132744,0.05185573920607567,0.3114548623561859,44.0,,28.1,,69.89999999999999,,56.99999999999999,,33.5,,37.4,
L20_N12432,20,12432,random,,1.8120704889297485,0.00018636445747688413,0.002557650674134493,0.014110315591096878,0.05235889554023743,0.29421886801719666,28.499999999999996,,37.4,,45.1,,27.200000000000003,,60.199999999999996,,40.300000000000004,
