Stolfo weight criteria -- 27 candidates vs 1000 random neurons (layers [20, 22, 26, 27, 28, 29, 30, 31], seed 42) and a +/-10% norm-matched null (up to 50 per candidate)

neuron         w_norm    pR |  logit_var    pR    pM |  nullfrac_k64    pR    pM |    b10%    pR    pM | nM   verdict
L29_N11791      1.625   7.7 |    0.00021  98.7  90.0 |       0.02473  91.1  72.0 |  0.4057  91.6  74.0 | 1571 -
L29_N13925      1.752  14.2 |    0.00018  17.8  40.0 |       0.01883  85.0  66.0 |  0.3267  81.4  56.0 | 3458 -
L28_N11622      1.774  16.5 |    0.00018   8.5  10.0 |       0.02626  91.3  94.0 |  0.3654  88.3  90.0 | 12740 -
L30_N13098      1.794  19.5 |    0.00018   8.5  36.0 |       0.02950  92.6  72.0 |  0.4073  91.7  66.0 | 3636 -
L29_N5866       1.773  16.1 |    0.00019  56.2  64.0 |       0.04073  95.2  92.0 |  0.4631  94.3  96.0 | 4996 -
L31_N11541      1.373   3.3 |    0.00016   3.5  26.0 |       0.14009  98.6  82.0 |  0.7124  99.2  90.0 | 1934 -
L29_N12400      1.489   4.9 |    0.00020  98.0  92.0 |       0.03506  94.0  78.0 |  0.3950  91.1  68.0 | 863  -
L27_N45         1.794  19.7 |    0.00019  80.4  84.0 |       0.02835  92.1  98.0 |  0.3851  90.4  96.0 | 13595 -
L28_N5085       1.573   6.1 |    0.00018  12.8  46.0 |       0.02878  92.2  84.0 |  0.4059  91.6  72.0 | 1068 -
L29_N3447       1.809  23.3 |    0.00018  12.4   8.0 |       0.02641  91.4  98.0 |  0.3841  90.4  96.0 | 10819 -
L29_N2646       1.800  21.0 |    0.00017   5.0   4.0 |       0.04306  95.4  98.0 |  0.4855  94.9  98.0 | 9442 -
L20_N4060       1.704  10.9 |    0.00019  88.2  82.0 |       0.02357  90.6  98.0 |  0.3684  89.0  90.0 | 13715 -
L31_N377        1.350   3.0 |    0.00014   0.9  14.0 |       0.03541  94.1  52.0 |  0.6177  98.2  62.0 | 1871 -
L31_N14143      1.630   8.0 |    0.00019  87.9  82.0 |       0.07021  97.1  62.0 |  0.4733  94.6  52.0 | 2201 -
L29_N6625       2.385  99.4 |    0.00018   8.1  32.0 |       0.02817  92.0  66.0 |  0.4493  94.0  70.0 | 136  ENTROPY-NEURON-LIKE
L22_N2446       1.719  11.3 |    0.00019  61.6  58.0 |       0.02437  91.1  98.0 |  0.3734  89.4  98.0 | 13864 -
L26_N8053       1.808  23.0 |    0.00019  35.3  26.0 |       0.01369  55.1  64.0 |  0.3182  77.5  92.0 | 13812 -
L28_N14222      1.607   7.0 |    0.00017   4.8  12.0 |       0.02260  90.0  64.0 |  0.4506  94.0  84.0 | 1310 -
L31_N7853       1.179   1.2 |    0.00018  10.9  50.0 |       0.01280  43.9  46.0 |  0.2838  22.3  36.0 | 925  -
L29_N578        1.403   3.5 |    0.00020  97.0  92.0 |       0.04110  95.3  94.0 |  0.4360  93.4  90.0 | 611  -
L31_N4425       1.383   3.3 |    0.00017   7.2  44.0 |       0.00897   5.2  16.0 |  0.3274  81.6  50.0 | 1974 -
L31_N368        1.371   3.3 |    0.00015   1.5  16.0 |       0.01987  87.3  52.0 |  0.4440  93.4  56.0 | 1924 -
L30_N11103      1.320   2.4 |    0.00018  17.8  40.0 |       0.00744   0.7  12.0 |  0.2568   2.1  42.0 | 1036 -
L29_N10877      1.801  21.6 |    0.00018  11.6   6.0 |       0.01687  79.4  92.0 |  0.3583  87.5  96.0 | 9662 -
L30_N1457       1.791  18.9 |    0.00033  99.8 100.0 |       0.05465  96.2  94.0 |  0.4628  94.3  94.0 | 3553 -
L29_N4718       1.457   4.0 |    0.00015   2.0   6.0 |       0.01080  19.4  18.0 |  0.5292  96.3  92.0 | 754  -
L31_N5966       0.998   0.2 |    0.00016   2.2  20.0 |       0.49920  99.8  96.0 |  0.8032  99.6  94.0 | 220  -

pR = percentile vs random null; pM = percentile vs norm-matched null; nM = number of eligible norm-matched neurons in that layer.
Verdict rule (random null): w_norm > p90, logit_var < p10, nullfrac_k64 > p90.
