neuron_id,layer,neuron_idx,kind,matched_to,w_norm,logit_var,nullfrac_k16,nullfrac_k64,nullfrac_k256,nullfrac_bottom10pct,w_norm_pctile_random,w_norm_pctile_matched,logit_var_pctile_random,logit_var_pctile_matched,nullfrac_bottom10pct_pctile_random,nullfrac_bottom10pct_pctile_matched,nullfrac_k16_pctile_random,nullfrac_k16_pctile_matched,nullfrac_k64_pctile_random,nullfrac_k64_pctile_matched,nullfrac_k256_pctile_random,nullfrac_k256_pctile_matched
L31_N993,31,993,candidate,,2.060406446456909,0.00010616334475344047,0.024601798504590988,0.4748471975326538,0.6085799932479858,0.8060896992683411,79.7,20.0,0.2,0.0,99.5,100.0,96.89999999999999,100.0,99.9,100.0,99.7,100.0
L30_N13664,30,13664,candidate,,2.1208434104919434,0.0001097499334719032,0.005929496604949236,0.18901877105236053,0.6317225694656372,0.8176818490028381,84.5,98.0,0.3,0.0,99.7,100.0,82.39999999999999,92.0,98.5,100.0,99.8,100.0
L31_N12106,31,12106,candidate,,2.0138628482818604,0.0001099872388294898,0.012601585127413273,0.3728722929954529,0.57056725025177,0.7960762977600098,66.5,18.0,0.3,0.0,99.4,100.0,93.8,100.0,99.7,100.0,99.5,100.0
L29_N1141,29,1141,candidate,,2.1465401649475098,0.0001179401806439273,0.005845118314027786,0.031161446124315262,0.6186903119087219,0.8108943104743958,86.1,100.0,0.4,0.0,99.7,100.0,82.0,98.0,88.0,96.0,99.8,100.0
L31_N2287,31,2287,candidate,,2.206620931625366,0.00012063921167282388,0.023850997909903526,0.08258464187383652,0.5531501173973083,0.7956370115280151,94.39999999999999,88.0,0.5,0.0,99.4,100.0,96.89999999999999,100.0,95.19999999999999,100.0,99.5,100.0
L30_N3794,30,3794,candidate,,2.02724552154541,0.00012174904259154573,0.026337558403611183,0.42134955525398254,0.5193976163864136,0.7485161423683167,70.39999999999999,57.99999999999999,0.6,0.0,98.7,100.0,97.3,100.0,99.9,100.0,99.4,100.0
L31_N8677,31,8677,candidate,,2.155034065246582,0.00012789457105100155,0.13483327627182007,0.23691844940185547,0.4289834797382355,0.7098961472511292,86.7,46.0,1.0999999999999999,0.0,97.89999999999999,100.0,99.7,100.0,98.7,100.0,98.7,100.0
L29_N4803,29,4803,candidate,,1.9907053709030151,0.00012805237201973796,0.02137838490307331,0.36370906233787537,0.46131452918052673,0.7052286863327026,57.4,76.0,1.0999999999999999,0.0,97.8,100.0,96.2,98.0,99.7,100.0,98.9,100.0
L30_N12730,30,12730,candidate,,1.947095274925232,0.00013140680675860494,0.0034625488333404064,0.01467751432210207,0.1361684650182724,0.7148998379707336,38.6,22.0,1.2,0.0,98.1,100.0,54.6,57.99999999999999,65.0,64.0,88.1,98.0
L31_N9032,31,9032,candidate,,2.2711668014526367,0.00013252979260869324,0.024270515888929367,0.2087085098028183,0.45205262303352356,0.7026600241661072,98.5,96.0,1.5,0.0,97.8,100.0,96.89999999999999,100.0,98.6,100.0,98.8,100.0
L30_N13446,30,13446,candidate,,1.993747353553772,0.000133939363877289,0.004136363510042429,0.03191756457090378,0.4756486713886261,0.716289758682251,58.699999999999996,36.0,1.6,0.0,98.1,100.0,67.0,64.0,88.3,92.0,99.1,100.0
L30_N2034,30,2034,candidate,,2.012794256210327,0.0001342340838164091,0.015453016385436058,0.26757270097732544,0.39218971133232117,0.6616238355636597,66.5,36.0,1.7000000000000002,0.0,96.7,100.0,94.6,100.0,99.2,100.0,97.8,100.0
L30_N3519,30,3519,candidate,,2.170489549636841,0.00013600628881249577,0.07397351413965225,0.2814045250415802,0.3890693485736847,0.6665390729904175,89.5,100.0,2.1999999999999997,0.0,96.8,100.0,99.2,100.0,99.2,100.0,97.7,100.0
L30_N889,30,889,candidate,,2.195439338684082,0.00013683787256013602,0.00862772949039936,0.06047144532203674,0.3974265456199646,0.7023423314094543,92.9,100.0,2.1999999999999997,0.0,97.8,100.0,89.60000000000001,100.0,93.60000000000001,98.0,97.89999999999999,100.0
L31_N2895,31,2895,candidate,,2.191756010055542,0.000136844115331769,0.01769620180130005,0.28226238489151,0.45859259366989136,0.7123204469680786,92.60000000000001,70.0,2.1999999999999997,0.0,98.0,100.0,95.39999999999999,98.0,99.2,100.0,98.8,100.0
L29_N4169,29,4169,candidate,,2.028989315032959,0.00013784982729703188,0.003217612626031041,0.0318802110850811,0.4396749436855316,0.6967024803161621,71.1,100.0,2.3,0.0,97.8,100.0,47.599999999999994,57.99999999999999,88.3,100.0,98.7,100.0
L31_N12734,31,12734,candidate,,1.9592691659927368,0.00013789039803668857,0.09951204061508179,0.18590688705444336,0.3581387996673584,0.6603956818580627,42.199999999999996,24.0,2.3,0.0,96.7,100.0,99.5,100.0,98.3,100.0,97.3,100.0
L30_N10549,30,10549,candidate,,2.1728546619415283,0.000138309012982063,0.007151408586651087,0.0746263787150383,0.45149439573287964,0.7077273726463318,89.8,98.0,2.4,0.0,97.89999999999999,100.0,87.4,100.0,94.6,100.0,98.8,100.0
L30_N1217,30,1217,candidate,,2.0143730640411377,0.00013893393042962998,0.13508100807666779,0.41607949137687683,0.5332231521606445,0.76547771692276,66.60000000000001,34.0,2.4,2.0,99.0,100.0,99.7,100.0,99.9,100.0,99.5,100.0
L31_N1852,31,1852,candidate,,2.3907482624053955,0.00013901629426982254,0.025205086916685104,0.316932737827301,0.394416481256485,0.6556569337844849,99.2,98.0,2.4,0.0,96.6,100.0,97.1,100.0,99.5,100.0,97.8,100.0
L31_N1824,31,1824,random,,1.9105117321014404,0.00017161047435365617,0.04048687592148781,0.10808362811803818,0.1821172684431076,0.48717212677001953,32.2,,12.9,,89.3,,98.5,,96.5,,91.3,
L29_N12149,29,12149,random,,1.9649550914764404,0.0001905492681544274,0.0015145537909120321,0.009591539390385151,0.03719334676861763,0.24688617885112762,45.0,,79.7,,1.7999999999999998,,5.3,,11.600000000000001,,2.6,
L30_N4012,30,4012,random,,2.5634026527404785,0.0001685280876699835,0.0031734989024698734,0.018830126151442528,0.11653362214565277,0.5104446411132812,99.7,,11.1,,91.10000000000001,,46.2,,79.5,,86.2,
L29_N2286,29,2286,random,,1.9432348012924194,0.00018471252406015992,0.0018484018510207534,0.012129568494856358,0.05086537078022957,0.28778642416000366,37.9,,28.9,,43.5,,10.7,,41.8,,44.9,
L31_N1679,31,1679,random,,1.5846493244171143,0.00023244264593813568,0.02006777934730053,0.07585017383098602,0.15945453941822052,0.45490047335624695,14.399999999999999,,99.5,,87.4,,95.89999999999999,,94.8,,89.8,
L31_N12135,31,12135,random,,1.840450406074524,0.0001713735400699079,0.011557076126337051,0.05677741765975952,0.18722303211688995,0.48746150732040405,24.9,,12.8,,89.5,,92.80000000000001,,93.2,,91.9,
L31_N1424,31,1424,random,,1.680263876914978,0.00019368299399502575,0.024802561849355698,0.09247022867202759,0.19287988543510437,0.4943014085292816,18.5,,89.5,,89.8,,97.0,,95.8,,92.2,
L31_N6912,31,6912,random,,2.1788628101348877,0.00019241966947447509,0.0028549705166369677,0.011499225161969662,0.04270687699317932,0.26456204056739807,90.9,,86.8,,5.3,,36.7,,33.800000000000004,,9.1,
L29_N488,29,488,random,,2.004239320755005,0.00018694660684559494,0.003769485978409648,0.010986925102770329,0.048598773777484894,0.2732737064361572,63.2,,47.699999999999996,,14.499999999999998,,60.3,,27.500000000000004,,34.1,
L29_N3582,29,3582,random,,1.958690881729126,0.00019068134133704007,0.003228152636438608,0.011193997226655483,0.05046656355261803,0.27346402406692505,41.8,,80.4,,14.799999999999999,,48.199999999999996,,30.0,,42.8,
L29_N8279,29,8279,random,,1.9599111080169678,0.0001953302853507921,0.00254891999065876,0.008374689146876335,0.03887765109539032,0.26120680570602417,42.4,,92.5,,4.2,,28.299999999999997,,4.6,,3.5999999999999996,
L31_N434,31,434,random,,1.6420503854751587,0.0001701632427284494,0.004118479322642088,0.021197907626628876,0.11295942962169647,0.4358799159526825,16.6,,12.0,,86.4,,66.60000000000001,,82.6,,85.7,
L31_N3257,31,3257,random,,2.100188732147217,0.000188453181181103,0.0024402460549026728,0.012675121426582336,0.05349590629339218,0.2911841571331024,82.89999999999999,,63.5,,51.2,,25.8,,47.9,,56.49999999999999,
L31_N10647,31,10647,random,,1.816495418548584,0.00017840956570580602,0.0060951607301831245,0.022732853889465332,0.08578582108020782,0.3589033782482147,23.200000000000003,,17.599999999999998,,80.0,,82.89999999999999,,83.7,,81.2,
L31_N8928,31,8928,random,,1.1890723705291748,0.000209015779546462,0.001895506284199655,0.007457636762410402,0.029644537717103958,0.21625976264476776,1.6,,97.3,,0.3,,11.799999999999999,,2.0,,0.6,
L30_N3611,30,3611,random,,2.247753381729126,0.00016996126214507967,0.009546189568936825,0.03684484213590622,0.1202547699213028,0.448162704706192,97.89999999999999,,11.899999999999999,,87.0,,90.4,,89.9,,86.7,
L30_N9654,30,9654,random,,2.011606454849243,0.00018623002688400447,0.004821585025638342,0.012323961593210697,0.0497712679207325,0.2887638211250305,66.0,,40.0,,45.2,,75.5,,43.8,,40.0,
L30_N13261,30,13261,random,,2.022027015686035,0.00018538279982749373,0.00640449533239007,0.017429936677217484,0.04784264788031578,0.282846599817276,68.8,,32.800000000000004,,32.5,,84.7,,75.4,,29.9,
L29_N12432,29,12432,random,,1.8352792263031006,0.00015161062765400857,0.002910272916778922,0.019762275740504265,0.24444788694381714,0.6073235273361206,24.5,,4.3999999999999995,,95.1,,38.0,,80.60000000000001,,94.69999999999999,
L29_N11438,29,11438,random,,1.974935531616211,0.00018909797654487193,0.0021550850942730904,0.014383959583938122,0.04797426611185074,0.2719002962112427,50.1,,69.89999999999999,,12.8,,17.5,,63.0,,30.5,
L30_N5574,30,5574,random,,2.0452699661254883,0.0001871736894827336,0.002604685490950942,0.01276163849979639,0.051537420600652695,0.27993276715278625,75.0,,49.9,,25.900000000000002,,30.099999999999998,,49.2,,48.6,
L30_N2547,30,2547,random,,1.4086061716079712,0.0001837654272094369,0.002004167065024376,0.011332867667078972,0.05674510449171066,0.3114972412586212,8.0,,25.4,,71.5,,13.600000000000001,,32.300000000000004,,65.7,
L29_N12509,29,12509,random,,1.985805869102478,0.00018826402083504945,0.002919385675340891,0.01213817112147808,0.04806983098387718,0.2791211009025574,55.1,,61.6,,24.2,,38.1,,41.9,,30.9,
L30_N1674,30,1674,random,,2.020883321762085,0.00016429067181888968,0.016707757487893105,0.05325494706630707,0.15336088836193085,0.46177613735198975,68.60000000000001,,9.0,,87.9,,95.1,,92.5,,89.5,
L29_N6224,29,6224,random,,1.9268972873687744,0.00018634655862115324,0.005476347636431456,0.015772122889757156,0.05359576642513275,0.2861174941062927,33.900000000000006,,41.8,,39.2,,79.9,,70.39999999999999,,56.99999999999999,
L29_N5881,29,5881,random,,1.979068398475647,0.00019079445337411016,0.002144071739166975,0.010345480404794216,0.04936335235834122,0.277575820684433,52.300000000000004,,80.9,,20.7,,17.0,,18.4,,37.7,
L30_N9891,30,9891,random,,1.8001173734664917,0.0001812880509532988,0.003889211220666766,0.0155838867649436,0.05382420867681503,0.2979370951652527,22.5,,20.8,,61.5,,62.6,,69.6,,57.699999999999996,
L30_N13223,30,13223,random,,1.8973942995071411,0.00013474837760441005,0.02232002653181553,0.3281438946723938,0.42633044719696045,0.6805121302604675,31.0,,1.7000000000000002,,97.2,,96.39999999999999,,99.6,,98.6,
L29_N11955,29,11955,random,,1.5360877513885498,0.00018418511899653822,0.006275980733335018,0.01696532778441906,0.07327786833047867,0.33208563923835754,12.9,,27.3,,76.2,,83.89999999999999,,74.1,,78.0,
L30_N8785,30,8785,random,,2.0167675018310547,0.00018827550229616463,0.003419329645112157,0.011951891705393791,0.048392411321401596,0.28103649616241455,67.10000000000001,,61.7,,28.299999999999997,,53.1,,39.2,,32.5,
L29_N6201,29,6201,random,,1.544965386390686,0.00010858720634132624,0.0028858615551143885,0.03960743546485901,0.6979101300239563,0.8523162603378296,13.100000000000001,,0.2,,99.8,,37.5,,90.60000000000001,,99.8,
L29_N9044,29,9044,random,,1.6605632305145264,0.00019390751549508423,0.0063261911273002625,0.01849108375608921,0.07586538046598434,0.3494381904602051,17.2,,90.0,,78.9,,84.2,,78.3,,78.8,
