Stolfo weight criteria -- 20 candidates vs 1000 random neurons (layers [29, 30, 31], seed 42) and a +/-10% norm-matched null (up to 50 per candidate)

neuron         w_norm    pR |  logit_var    pR    pM |  nullfrac_k64    pR    pM |    b10%    pR    pM | nM   verdict
L31_N993        2.060  79.7 |    0.00011   0.2   0.0 |       0.47485  99.9 100.0 |  0.8061  99.5 100.0 | 8928 -
L30_N13664      2.121  84.5 |    0.00011   0.3   0.0 |       0.18902  98.5 100.0 |  0.8177  99.7 100.0 | 9726 -
L31_N12106      2.014  66.5 |    0.00011   0.3   0.0 |       0.37287  99.7 100.0 |  0.7961  99.4 100.0 | 8049 -
L29_N1141       2.147  86.1 |    0.00012   0.4   0.0 |       0.03116  88.0  96.0 |  0.8109  99.7 100.0 | 9675 -
L31_N2287       2.207  94.4 |    0.00012   0.5   0.0 |       0.08258  95.2 100.0 |  0.7956  99.4 100.0 | 8252 ENTROPY-NEURON-LIKE
L30_N3794       2.027  70.4 |    0.00012   0.6   0.0 |       0.42135  99.9 100.0 |  0.7485  98.7 100.0 | 10530 -
L31_N8677       2.155  86.7 |    0.00013   1.1   0.0 |       0.23692  98.7 100.0 |  0.7099  97.9 100.0 | 8567 -
L29_N4803       1.991  57.4 |    0.00013   1.1   0.0 |       0.36371  99.7 100.0 |  0.7052  97.8 100.0 | 12052 -
L30_N12730      1.947  38.6 |    0.00013   1.2   0.0 |       0.01468  65.0  64.0 |  0.7149  98.1 100.0 | 10934 -
L31_N9032       2.271  98.5 |    0.00013   1.5   0.0 |       0.20871  98.6 100.0 |  0.7027  97.8 100.0 | 7678 ENTROPY-NEURON-LIKE
L30_N13446      1.994  58.7 |    0.00013   1.6   0.0 |       0.03192  88.3  92.0 |  0.7163  98.1 100.0 | 10731 -
L30_N2034       2.013  66.5 |    0.00013   1.7   0.0 |       0.26757  99.2 100.0 |  0.6616  96.7 100.0 | 10619 -
L30_N3519       2.170  89.5 |    0.00014   2.2   0.0 |       0.28140  99.2 100.0 |  0.6665  96.8 100.0 | 9037 -
L30_N889        2.195  92.9 |    0.00014   2.2   0.0 |       0.06047  93.6  98.0 |  0.7023  97.8 100.0 | 8469 ENTROPY-NEURON-LIKE
L31_N2895       2.192  92.6 |    0.00014   2.2   0.0 |       0.28226  99.2 100.0 |  0.7123  98.0 100.0 | 8357 ENTROPY-NEURON-LIKE
L29_N4169       2.029  71.1 |    0.00014   2.3   0.0 |       0.03188  88.3 100.0 |  0.6967  97.8 100.0 | 11735 -
L31_N12734      1.959  42.2 |    0.00014   2.3   0.0 |       0.18591  98.3 100.0 |  0.6604  96.7 100.0 | 5279 -
L30_N10549      2.173  89.8 |    0.00014   2.4   0.0 |       0.07463  94.6 100.0 |  0.7077  97.9 100.0 | 8991 -
L30_N1217       2.014  66.6 |    0.00014   2.4   2.0 |       0.41608  99.9 100.0 |  0.7655  99.0 100.0 | 10607 -
L31_N1852       2.391  99.2 |    0.00014   2.4   0.0 |       0.31693  99.5 100.0 |  0.6557  96.6 100.0 | 4763 ENTROPY-NEURON-LIKE

pR = percentile vs random null; pM = percentile vs norm-matched null; nM = number of eligible norm-matched neurons in that layer.
Verdict rule (random null): w_norm > p90, logit_var < p10, nullfrac_k64 > p90.
