Stolfo weight criteria -- 17 candidates vs 1000 random neurons (layers [20, 23, 28, 29, 30, 31], seed 42) and a +/-10% norm-matched null (up to 50 per candidate)

neuron         w_norm    pR |  logit_var    pR    pM |  nullfrac_k64    pR    pM |    b10%    pR    pM | nM   verdict
L30_N1457       1.791  22.5 |    0.00033 100.0 100.0 |       0.05465  96.2  86.0 |  0.4628  92.6  84.0 | 3553 -
L29_N11909      1.397   4.1 |    0.00039 100.0 100.0 |       0.04111  94.4  78.0 |  0.4916  93.9  82.0 | 592  -
L29_N13925      1.752  16.9 |    0.00018  22.5  46.0 |       0.01883  84.8  72.0 |  0.3267  79.9  60.0 | 3463 -
L30_N1777       1.388   3.8 |    0.00031  99.9 100.0 |       0.12819  98.5  98.0 |  0.5642  96.0  92.0 | 1178 -
L23_N12855      1.507   6.5 |    0.00016   5.0  16.0 |       0.04311  94.8  90.0 |  0.4670  92.7  82.0 | 484  -
L30_N13647      1.410   4.4 |    0.00015   3.1  14.0 |       0.19207  99.1  92.0 |  0.6182  97.0  84.0 | 1225 -
L20_N12894      1.468   5.7 |    0.00017   7.4  12.0 |       0.03034  92.2  90.0 |  0.4223  90.8  88.0 | 475  -
L20_N1399       1.801  24.6 |    0.00019  78.4  80.0 |       0.01115  24.8  14.0 |  0.2816  20.7   8.0 | 13755 -
L28_N11622      1.774  20.0 |    0.00018  10.7   8.0 |       0.02626  91.0  92.0 |  0.3654  86.8  92.0 | 12741 -
L31_N6772       1.759  17.6 |    0.00016   3.4   8.0 |       0.12289  98.4  94.0 |  0.6392  97.5  94.0 | 2254 -
L20_N2742       1.832  40.6 |    0.00019  76.7  84.0 |       0.01150  28.9  18.0 |  0.2994  54.1  44.0 | 13582 -
L31_N3330       1.454   5.4 |    0.00032  99.9  98.0 |       0.12837  98.5  90.0 |  0.5784  96.6  68.0 | 2108 -
L20_N1001       1.417   4.5 |    0.00018  18.2  38.0 |       0.01757  82.1  46.0 |  0.3498  84.7  56.0 | 279  -
L20_N4769       1.760  17.6 |    0.00019  85.5  84.0 |       0.01573  74.5  80.0 |  0.3130  71.8  72.0 | 13885 -
L30_N13098      1.794  22.8 |    0.00018  10.8  18.0 |       0.02950  91.9  90.0 |  0.4073  89.8  92.0 | 3636 -
L30_N10312      1.507   6.5 |    0.00017   5.8  18.0 |       0.05026  95.8  84.0 |  0.4878  93.7  82.0 | 1491 -
L20_N5595       1.437   5.3 |    0.00019  87.2  86.0 |       0.01517  70.3  26.0 |  0.3561  85.4  54.0 | 352  -

pR = percentile vs random null; pM = percentile vs norm-matched null; nM = number of eligible norm-matched neurons in that layer.
Verdict rule (random null): w_norm > p90, logit_var < p10, nullfrac_k64 > p90.
