Token-frequency neuron score: candidates vs 1000 random neurons (layers [20, 22, 23, 24, 26, 27, 28, 29, 30, 31], seed 42)
random null |corr|: median 0.050, 95th pct 0.168, 99th 0.234

neuron       freq_corr    pct     slope  verdict  sets
L29_N11909      -0.541  100.0   -0.0107  FREQ-NEURON-LIKE candidate_neurons
L30_N1777       -0.490  100.0   -0.0086  FREQ-NEURON-LIKE candidate_neurons
L30_N1457       +0.455  100.0   +0.0107  FREQ-NEURON-LIKE candidate_neurons|candidate_neurons_bf16
L31_N3330       -0.466  100.0   -0.0087  FREQ-NEURON-LIKE candidate_neurons
L29_N10092      -0.410   99.9   -0.0077  FREQ-NEURON-LIKE candidates_old15
L31_N5966       -0.405   99.9   -0.0036  FREQ-NEURON-LIKE candidate_neurons_bf16
L31_N2477       +0.424   99.9   +0.0051  FREQ-NEURON-LIKE candidates_old15
L30_N7102       -0.297   99.5   -0.0055  FREQ-NEURON-LIKE candidates_old15
L31_N14143      -0.253   99.2   -0.0041  FREQ-NEURON-LIKE candidate_neurons_bf16
L29_N5866       +0.229   98.9   +0.0040  elevated         candidate_neurons_bf16
L31_N11541      +0.220   98.6   +0.0028  elevated         candidate_neurons_bf16
L29_N11791      -0.206   97.9   -0.0035  elevated         candidate_neurons_bf16
L30_N13647      +0.198   97.4   +0.0025  elevated         candidate_neurons
L29_N9228       +0.192   96.9   +0.0031  elevated         candidates_old15
L29_N6625       +0.193   96.9   +0.0044  elevated         candidate_neurons_bf16
L28_N5085       -0.183   96.3   -0.0028  elevated         candidate_neurons_bf16
L26_N11322      +0.178   95.4   +0.0026  elevated         candidates_old15
L20_N4060       -0.169   95.0   -0.0029  elevated         candidate_neurons_bf16
L29_N12400      -0.168   94.9   -0.0026  -                candidate_neurons_bf16
L20_N5595       +0.159   94.2   +0.0023  -                candidate_neurons
L22_N2446       -0.160   94.2   -0.0027  -                candidate_neurons_bf16
L29_N10191      +0.155   93.7   +0.0024  -                candidates_old15
L30_N5509       +0.150   93.1   +0.0017  -                candidates_old15
L27_N45         -0.143   91.9   -0.0026  -                candidate_neurons_bf16
L30_N13098      -0.143   91.9   -0.0025  -                candidate_neurons|candidate_neurons_bf16
L29_N8568       +0.131   88.1   +0.0020  -                candidates_old15
L24_N7891       +0.131   88.0   +0.0022  -                candidates_old15
L29_N4718       -0.129   87.5   -0.0017  -                candidate_neurons_bf16
L20_N4769       +0.125   86.5   +0.0022  -                candidate_neurons
L20_N2742       +0.117   83.7   +0.0021  -                candidate_neurons
L26_N2788       -0.106   80.2   -0.0016  -                candidates_old15
L30_N10312      -0.098   76.5   -0.0014  -                candidate_neurons
L29_N13925      -0.096   76.0   -0.0016  -                candidate_neurons|candidate_neurons_bf16
L29_N2646       +0.088   72.3   +0.0015  -                candidate_neurons_bf16
L29_N11308      +0.082   69.9   +0.0015  -                candidates_old15
L29_N578        +0.079   68.4   +0.0011  -                candidate_neurons_bf16
L29_N10877      +0.073   65.5   +0.0013  -                candidate_neurons_bf16
L28_N11622      +0.064   61.2   +0.0011  -                candidate_neurons|candidate_neurons_bf16
L30_N6621       -0.062   58.9   -0.0009  -                candidates_old15
L29_N3447       +0.058   56.1   +0.0010  -                candidate_neurons_bf16
L30_N3533       +0.056   54.3   +0.0008  -                candidates_old15
L20_N1399       +0.041   41.3   +0.0007  -                candidate_neurons
L31_N377        +0.035   35.9   +0.0004  -                candidate_neurons_bf16
L28_N14222      +0.028   29.5   +0.0004  -                candidate_neurons_bf16
L26_N8053       -0.025   25.9   -0.0004  -                candidate_neurons_bf16
L20_N1001       -0.021   23.2   -0.0003  -                candidate_neurons
L23_N12156      -0.021   23.1   -0.0003  -                candidates_old15
L30_N13513      -0.021   22.4   -0.0002  -                candidates_old15
L30_N11103      -0.020   22.2   -0.0003  -                candidate_neurons_bf16
L31_N7853       -0.014   16.6   -0.0002  -                candidate_neurons_bf16
L31_N6772       -0.014   16.2   -0.0002  -                candidate_neurons
L23_N12855      +0.013   14.9   +0.0002  -                candidate_neurons
L20_N12894      +0.006    8.2   +0.0001  -                candidate_neurons
L31_N4425       -0.006    8.2   -0.0001  -                candidate_neurons_bf16
L31_N368        +0.006    8.1   +0.0001  -                candidate_neurons_bf16
